City,Country,Latitude,Longitude,Max_temp_F,Humidity_Percent,Cloudy_Percent,Wind_Speed_mph,Date
Jamestown,United States,42.1,-79.24,36.0,86,1,9.17,2020-12-10 23:43:38
Kapaa,United States,22.08,-159.32,82.4,69,1,6.93,2020-12-10 23:44:19
Fortuna,United States,40.6,-124.16,52.0,81,40,1.99,2020-12-10 23:45:35
Castro,Brazil,-24.79,-50.01,61.61,92,20,5.12,2020-12-10 23:42:38
San,Mali,13.3,-4.9,75.13,20,0,10.74,2020-12-10 23:44:11
Raahe,Finland,64.68,24.48,27.0,86,90,5.82,2020-12-10 23:45:35
Nemuro,Japan,43.32,145.57,37.78,75,11,5.03,2020-12-10 23:43:13
Kabanjahe,Indonesia,3.1,98.49,77.0,94,40,3.36,2020-12-10 23:45:36
Nome,United States,64.5,-165.41,-0.4,70,1,8.05,2020-12-10 23:45:36
Butaritari,Kiribati,3.07,172.79,82.08,75,95,7.67,2020-12-10 23:45:37
Leningradskiy,Russia,69.38,178.42,0.84,87,0,9.06,2020-12-10 23:45:37
Rikitea,French Polynesia,-23.12,-134.97,77.25,81,40,13.89,2020-12-10 23:45:37
Chauk,Myanmar,20.88,94.82,65.3,81,6,3.89,2020-12-10 23:45:37
Khatanga,Russia,71.97,102.5,-32.78,84,95,7.67,2020-12-10 23:45:38
Kumul,China,42.8,93.45,16.68,88,48,1.79,2020-12-10 23:45:39
Samarai,Papua New Guinea,-10.62,150.67,83.41,70,92,5.32,2020-12-10 23:45:39
Bethel,United States,41.37,-73.41,39.0,69,1,4.7,2020-12-10 23:41:02
Hambantota,Sri Lanka,6.12,81.12,75.25,80,89,12.33,2020-12-10 23:45:39
Mataura,New Zealand,-46.19,168.86,53.01,73,98,11.99,2020-12-10 23:45:39
Cayenne,French Guiana,4.93,-52.33,77.0,100,90,2.24,2020-12-10 23:42:05
Waiouru,New Zealand,-39.48,175.67,62.19,50,27,13.13,2020-12-10 23:45:40
Kaitangata,New Zealand,-46.28,169.85,51.01,68,100,14.0,2020-12-10 23:45:41
Hermanus,South Africa,-34.42,19.23,63.0,88,70,5.57,2020-12-10 23:45:41
Hithadhoo,Maldives,-0.6,73.08,81.59,77,1,13.47,2020-12-10 23:44:02
Cabo,Brazil,-8.28,-35.03,78.8,69,20,8.05,2020-12-10 23:45:41
Sitka,United States,57.05,-135.33,46.4,42,20,12.75,2020-12-10 23:45:42
Coquimbo,Chile,-29.95,-71.34,60.8,67,0,9.17,2020-12-10 23:43:16
Mossamedes,Angola,-15.2,12.15,65.64,76,51,6.24,2020-12-10 23:45:43
Tual,Indonesia,-5.67,132.75,84.18,70,18,5.01,2020-12-10 23:45:43
Barrow,United States,71.29,-156.79,-5.8,76,90,9.17,2020-12-10 23:45:43
Saskylakh,Russia,71.92,114.08,-17.81,86,100,12.26,2020-12-10 23:45:43
Las,Poland,49.74,19.43,30.0,2,73,10.0,2020-12-10 23:45:44
Roald,Norway,62.58,6.13,44.6,61,87,12.75,2020-12-10 23:45:44
Yangi Marg`ilon,Uzbekistan,40.43,71.72,32.0,85,98,6.93,2020-12-10 23:45:45
Tuatapere,New Zealand,-46.13,167.68,53.01,73,85,11.99,2020-12-10 23:45:45
Bluff,New Zealand,-46.6,168.33,53.01,73,73,11.99,2020-12-10 23:45:45
Airai,Timor-Leste,-8.93,125.41,72.84,74,86,0.65,2020-12-10 23:45:45
Kawalu,Indonesia,-7.38,108.21,77.05,83,90,0.16,2020-12-10 23:45:46
Carnarvon,Australia,-24.87,113.63,75.2,100,68,14.99,2020-12-10 23:45:46
Safaga,Egypt,26.73,33.94,59.0,62,0,4.81,2020-12-10 23:43:07
Eyl,Somalia,7.98,49.82,72.73,56,7,14.7,2020-12-10 23:45:46
Tasiilaq,Greenland,65.61,-37.64,23.0,45,47,8.05,2020-12-10 23:45:46
Bathsheba,Barbados,13.22,-59.52,78.8,74,20,12.75,2020-12-10 23:45:46
Yellowknife,Canada,62.46,-114.35,-0.4,84,75,9.17,2020-12-10 23:45:47
Weiser,United States,44.25,-116.97,44.6,48,1,4.7,2020-12-10 23:45:47
Yar-Sale,Russia,66.83,70.83,-1.41,92,96,14.03,2020-12-10 23:45:47
Mukhen,Russia,48.1,136.1,15.96,94,100,5.95,2020-12-10 23:45:47
Hilo,United States,19.73,-155.09,84.2,58,40,16.11,2020-12-10 23:44:00
Punta,Philippines,8.99,125.34,81.41,76,36,4.63,2020-12-10 23:45:48
Vaini,Tonga,-21.2,-175.2,84.2,74,40,13.87,2020-12-10 23:45:48
El Puerto de Santa María,Spain,36.59,-6.23,64.4,88,75,16.11,2020-12-10 23:41:19
Lebu,Chile,-37.62,-73.65,55.99,86,0,7.92,2020-12-10 23:45:49
Quelimane,Mozambique,-17.88,36.89,75.2,88,20,2.3,2020-12-10 23:45:49
Batticaloa,Sri Lanka,7.71,81.69,76.64,79,22,7.96,2020-12-10 23:45:49
Qaanaaq,Greenland,77.48,-69.36,13.55,92,100,5.12,2020-12-10 23:45:49
Arraial,Brazil,-22.84,-46.65,75.2,64,0,13.87,2020-12-10 23:45:50
Kuytun,Russia,54.34,101.5,-2.0,89,97,5.86,2020-12-10 23:45:50
Norman,United States,35.22,-97.44,71.6,21,1,10.29,2020-12-10 23:45:50
Aklavik,Canada,68.22,-135.01,-5.8,76,90,3.36,2020-12-10 23:45:51
Stromness,United Kingdom,58.97,-3.3,46.4,81,99,32.21,2020-12-10 23:45:51
Ushuaia,Argentina,-54.8,-68.3,59.0,51,75,23.04,2020-12-10 23:44:27
Eenhana,Namibia,-17.47,16.33,71.1,24,15,5.03,2020-12-10 23:45:51
Colombo,Sri Lanka,6.93,79.85,73.4,94,0,4.7,2020-12-10 23:45:51
Alakurtti,Russia,66.97,30.35,28.99,94,96,2.89,2020-12-10 23:45:52
Saint Paul Harbor,United States,57.79,-152.41,26.6,73,75,3.36,2020-12-10 23:45:52
Adré,Chad,13.47,22.2,68.68,22,100,12.88,2020-12-10 23:45:52
Ponta,Portugal,38.73,-28.27,60.55,97,77,23.29,2020-12-10 23:45:52
Busselton,Australia,-33.65,115.33,77.0,61,50,4.0,2020-12-10 23:45:52
Nikolskoye,Russia,59.7,30.79,18.0,78,0,11.18,2020-12-10 23:45:53
Hobart,Australia,-42.88,147.33,64.0,47,75,12.75,2020-12-10 23:45:43
Cervo,Spain,43.67,-7.41,60.01,96,100,21.99,2020-12-10 23:45:53
Zapolyarnyy,Russia,69.42,30.81,30.2,92,75,11.41,2020-12-10 23:45:54
New,Liberia,6.65,-10.59,78.8,94,75,0.63,2020-12-10 23:42:23
Presidente,Brazil,-29.95,-50.11,70.92,83,2,16.37,2020-12-10 23:45:54
Longyearbyen,Svalbard and Jan Mayen Islands,78.22,15.64,15.8,66,75,6.93,2020-12-10 23:45:28
Bereda,Spain,43.27,-7.54,59.0,100,100,11.99,2020-12-10 23:45:54
Kouroussa,Guinea,10.65,-9.88,74.28,29,0,1.61,2020-12-10 23:45:55
Muskogee,United States,35.58,-95.33,68.0,28,1,11.41,2020-12-10 23:45:55
Saint-François,France,46.42,3.91,44.01,93,90,8.05,2020-12-10 23:45:56
Okha,Russia,53.57,142.95,12.78,96,100,7.61,2020-12-10 23:45:56
Hong Kong,Hong Kong,22.29,114.16,70.0,85,45,5.21,2020-12-10 23:43:42
Klamath,United States,42.67,-121.75,44.6,36,75,12.75,2020-12-10 23:45:56
Sepuka,Tanzania,-4.75,34.53,64.65,85,84,1.72,2020-12-10 23:45:57
Albany,United States,42.6,-73.97,37.99,72,2,5.39,2020-12-10 23:44:35
Shimoda,Japan,34.67,138.95,55.4,82,75,10.29,2020-12-10 23:45:57
College,United States,64.86,-147.8,3.2,84,75,1.12,2020-12-10 23:45:57
Katsuura,Japan,35.13,140.3,51.01,81,75,6.93,2020-12-10 23:45:58
Arlit,Niger,18.74,7.39,73.87,21,0,5.44,2020-12-10 23:45:58
Thompson,Canada,55.74,-97.86,1.4,84,20,3.36,2020-12-10 23:45:58
Shakawe,Botswana,-18.37,21.85,72.39,72,49,5.3,2020-12-10 23:45:58
Klaksvík,Faeroe Islands,62.23,-6.59,46.4,87,100,25.28,2020-12-10 23:45:59
Faanui,French Polynesia,-16.48,-151.75,80.38,73,100,14.05,2020-12-10 23:45:59
Grafton,United States,42.21,-71.69,36.0,64,1,5.82,2020-12-10 23:45:59
Chenzhou,China,25.8,113.03,49.95,79,89,1.41,2020-12-10 23:46:00
Dalvik,Iceland,65.97,-18.53,39.2,86,90,6.93,2020-12-10 23:46:00
Kahului,United States,20.89,-156.47,87.8,48,40,13.87,2020-12-10 23:44:00
El Puerto de Santa María,Spain,36.59,-6.23,64.4,88,75,16.11,2020-12-10 23:41:19
Sao,India,20.51,76.21,67.73,53,47,12.15,2020-12-10 23:46:00
Hushitai,China,41.93,123.51,17.6,61,0,2.24,2020-12-10 23:46:01
Cape,Chile,-36.41,-71.9,64.4,48,75,12.75,2020-12-10 23:46:01
Pacific,United States,38.48,-90.74,54.0,66,25,4.97,2020-12-10 23:46:01
Matiari,Pakistan,25.6,68.45,51.8,93,27,16.53,2020-12-10 23:46:01
George Town,Malaysia,5.41,100.34,80.6,94,20,3.36,2020-12-10 23:46:02
Cherskiy,Russia,68.75,161.3,-0.26,80,97,3.91,2020-12-10 23:46:02
Narsaq,Greenland,60.92,-46.05,17.6,37,0,4.7,2020-12-10 23:46:02
Esperance,Australia,-33.87,121.9,64.4,77,90,12.75,2020-12-10 23:46:02
Tanout,Niger,14.97,8.89,73.53,21,67,10.36,2020-12-10 23:46:03
Constitución,Chile,-35.33,-72.42,57.4,74,1,11.43,2020-12-10 23:46:03
Mys,Russia,62.06,48.62,16.57,90,10,5.99,2020-12-10 23:46:04
Mayo,United States,38.89,-76.51,42.8,93,1,1.77,2020-12-10 23:46:04
Saldanha,South Africa,-33.01,17.94,59.0,77,98,1.12,2020-12-10 23:46:04
Danané,Cote d'Ivoire,7.26,-8.15,71.06,96,82,0.63,2020-12-10 23:46:05
Necochea,Argentina,-38.55,-58.74,64.94,84,97,23.67,2020-12-10 23:41:31
Bredasdorp,South Africa,-34.53,20.04,64.4,82,92,1.12,2020-12-10 23:46:05
Vestmanna,Faeroe Islands,62.16,-7.17,46.4,87,100,25.28,2020-12-10 23:46:06
Biu,Nigeria,10.61,12.19,70.81,25,4,4.85,2020-12-10 23:46:06
Sioux,United States,42.73,-96.23,44.01,65,1,12.75,2020-12-10 23:46:06
Praia,Cabo Verde,14.92,-23.51,73.4,64,75,16.11,2020-12-10 23:46:06
Nanortalik,Greenland,60.14,-45.24,25.9,84,1,5.91,2020-12-10 23:46:06
Husavik,Iceland,66.04,-17.34,39.2,88,90,6.93,2020-12-10 23:46:07
Wakkanai,Japan,45.41,141.67,36.64,78,83,19.24,2020-12-10 23:44:21
Lata,Portugal,40.16,-8.33,59.0,97,100,8.99,2020-12-10 23:46:07
Līsakovsk,Kazakhstan,52.54,62.49,4.41,94,12,1.14,2020-12-10 23:46:07
Upernavik,Greenland,72.79,-56.15,24.48,92,100,6.08,2020-12-10 23:46:08
Doka,Sudan,13.52,35.77,70.7,67,28,14.94,2020-12-10 23:46:08
Chokurdakh,Russia,70.63,147.92,-31.92,85,79,7.16,2020-12-10 23:46:08
Mayumba,Gabon,-3.43,10.66,77.94,87,100,6.22,2020-12-10 23:46:08
Sambava,Madagascar,-14.27,50.17,75.52,87,77,5.17,2020-12-10 23:46:08
Winnemucca,United States,40.97,-117.74,44.6,33,1,4.7,2020-12-10 23:42:11
Oddur,Somalia,4.12,43.89,69.48,78,35,13.82,2020-12-10 23:46:09
Olafsvik,Iceland,64.89,-23.71,38.79,88,96,18.48,2020-12-10 23:46:09
Camaná,Peru,-16.62,-72.71,66.76,76,27,7.49,2020-12-10 23:46:09
Bengkulu,Indonesia,-3.8,102.27,76.33,82,95,6.96,2020-12-10 23:46:10
Jerez,Guatemala,14.1,-89.75,80.6,47,0,4.32,2020-12-10 23:46:10
Aykhal,Russia,66.0,111.5,-40.0,65,0,6.71,2020-12-10 23:46:10
Port,DR Congo,-7.03,29.76,71.74,75,88,10.51,2020-12-10 23:46:10
Cockburn,Australia,-32.08,141.0,69.8,28,69,18.34,2020-12-10 23:46:10
Rawson,Argentina,-43.3,-65.1,65.01,46,98,6.08,2020-12-10 23:46:10
Port,DR Congo,-7.03,29.76,71.74,75,88,10.51,2020-12-10 23:44:00
Krasnosel'kup,Russia,65.7,82.47,-19.79,88,61,4.83,2020-12-10 23:46:11
Bireun,Indonesia,5.2,96.7,76.51,84,99,2.48,2020-12-10 23:46:11
Ulaangom,Mongolia,49.98,92.07,-0.22,83,95,5.26,2020-12-10 23:46:11
Liverpool,United Kingdom,53.41,-2.98,46.4,93,90,13.87,2020-12-10 23:43:50
Ürümqi,China,43.8,87.6,10.4,78,41,6.71,2020-12-10 23:46:11
Salalah,Oman,17.02,54.09,75.2,23,0,16.11,2020-12-10 23:46:12
Dikson,Russia,73.51,80.55,-9.38,89,100,20.94,2020-12-10 23:46:12
Cidreira,Brazil,-30.18,-50.21,70.97,82,0,17.47,2020-12-10 23:46:12
Laguna,United States,38.42,-121.42,66.2,17,1,3.36,2020-12-10 23:43:30
Ilulissat,Greenland,69.22,-51.1,19.4,41,90,17.22,2020-12-10 23:46:13
Comodoro,Brazil,-13.66,-59.79,68.76,98,74,4.56,2020-12-10 23:46:13
Ribeira,Spain,42.75,-8.44,61.0,93,75,9.17,2020-12-10 23:46:13
Atar,Mauritania,20.52,-13.05,63.95,25,87,10.0,2020-12-10 23:46:13
Kutum,Sudan,14.2,24.67,59.34,32,57,7.11,2020-12-10 23:46:13
Takoradze,Ghana,4.88,-1.76,78.87,85,2,8.46,2020-12-10 23:46:14
Vagay,Russia,57.94,69.02,13.17,96,74,6.4,2020-12-10 23:46:14
Lake,United States,42.33,-88.0,48.0,66,26,6.15,2020-12-10 23:46:14
Tuktoyaktuk,Canada,69.45,-133.04,-13.0,75,75,9.17,2020-12-10 23:46:14
Kavieng,Papua New Guinea,-2.57,150.8,82.22,73,99,2.73,2020-12-10 23:46:14
Suntar,Russia,62.14,117.63,-30.08,84,88,2.13,2020-12-10 23:46:14
Tataouine,Tunisia,32.93,10.45,53.6,32,100,17.22,2020-12-10 23:46:14
Goderich,Canada,43.75,-81.72,39.2,80,63,8.05,2020-12-10 23:46:15
Caibarién,Cuba,22.52,-79.47,64.4,72,20,5.82,2020-12-10 23:46:15
Xinzhou,China,38.41,112.73,21.38,80,0,2.15,2020-12-10 23:46:15
Sao,India,20.51,76.21,67.73,53,47,12.15,2020-12-10 23:46:15
Herat Province,Afghanistan,34.5,62.0,34.59,83,84,5.75,2020-12-10 23:46:15
Madingou,Congo Republic,-4.15,13.55,73.35,93,94,1.32,2020-12-10 23:46:16
Vanimo,Papua New Guinea,-2.67,141.3,82.67,74,96,4.36,2020-12-10 23:46:16
Westport,United States,41.14,-73.36,44.6,56,1,4.7,2020-12-10 23:46:16
Shiyan,China,32.65,110.78,41.09,70,46,3.24,2020-12-10 23:46:16
Jumla,Nepal,29.27,82.18,38.07,54,0,5.3,2020-12-10 23:46:16
Kaeo,New Zealand,-35.1,173.78,70.0,67,91,5.99,2020-12-10 23:46:16
Nueva,Ecuador,-1.72,-79.83,80.6,69,40,10.29,2020-12-10 23:46:17
Ilhabela,Brazil,-23.78,-45.36,73.33,87,91,7.87,2020-12-10 23:46:17
Hofn,Iceland,64.25,-15.21,43.72,94,100,16.6,2020-12-10 23:46:17
Khryashchevka,Russia,53.81,49.09,1.4,84,0,6.71,2020-12-10 23:46:17
Lábrea,Brazil,-7.26,-64.8,73.96,97,98,4.23,2020-12-10 23:46:17
Alofi,Niue,-19.06,-169.92,82.4,74,75,20.8,2020-12-10 23:46:18
Baghdad,Iraq,33.34,44.4,50.0,76,0,4.7,2020-12-10 23:46:18
Port,DR Congo,-7.03,29.76,71.74,75,88,10.51,2020-12-10 23:44:00
Homer,United States,59.64,-151.55,30.99,92,20,4.7,2020-12-10 23:46:18
Murwillumbah,Australia,-28.32,153.4,77.0,73,90,9.17,2020-12-10 23:46:18
Cabra,Spain,37.47,-4.44,57.99,70,100,3.0,2020-12-10 23:46:03
Mananjary,Madagascar,-21.22,48.33,73.98,88,97,4.23,2020-12-10 23:46:19
Plettenberg,Germany,51.22,7.88,32.0,87,97,5.99,2020-12-10 23:46:19
Upington,South Africa,-28.45,21.26,71.6,33,0,6.93,2020-12-10 23:46:19
Avarua,Cook Islands,-21.21,-159.78,84.2,74,13,18.34,2020-12-10 23:46:19
Kanel,Senegal,15.49,-13.18,78.8,34,0,4.7,2020-12-10 23:46:20
San,Mali,13.3,-4.9,75.13,20,0,10.74,2020-12-10 23:44:11
Hasaki,Japan,35.73,140.83,44.6,100,40,4.7,2020-12-10 23:46:20
Laas,Italy,46.62,10.7,36.0,79,5,3.36,2020-12-10 23:46:20
Brae,United Kingdom,60.4,-1.35,48.2,76,100,31.09,2020-12-10 23:46:20
Tessalit,Mali,20.2,1.01,63.5,21,32,9.35,2020-12-10 23:46:21
Shangrao,China,28.45,117.97,49.62,81,64,3.06,2020-12-10 23:46:21
Chui,Uruguay,-33.7,-53.46,69.62,73,0,10.33,2020-12-10 23:46:21
Saint-Philippe,Reunion,-21.36,55.77,73.4,73,0,21.92,2020-12-10 23:46:21
Muisne,Ecuador,0.6,-80.03,80.6,83,75,5.82,2020-12-10 23:46:21
Belgrade,Serbia,44.8,20.47,37.4,100,90,6.93,2020-12-10 23:46:22
Woodward,United States,36.43,-99.39,53.6,57,75,6.93,2020-12-10 23:46:22
Patnāgarh,India,20.72,83.15,60.67,61,0,1.12,2020-12-10 23:46:22
Koumac,New Caledonia,-20.57,164.28,84.29,64,97,7.94,2020-12-10 23:46:22
Portsoy,United Kingdom,57.68,-2.69,46.0,81,75,20.8,2020-12-10 23:46:22
Clyde,United States,41.3,-82.98,44.01,77,0,10.04,2020-12-10 23:46:22
Bambous,Mauritius,-20.26,57.41,75.2,69,75,11.41,2020-12-10 23:46:23
Mtwara,Tanzania,-10.27,40.18,80.15,83,97,9.69,2020-12-10 23:46:23
Tommot,Russia,58.96,126.29,-24.81,83,100,1.92,2020-12-10 23:46:23
Luwuk,Indonesia,-0.95,122.79,83.59,66,90,0.98,2020-12-10 23:46:23
Provideniya,Russia,64.38,-173.3,14.0,66,0,15.66,2020-12-10 23:46:23
Grand,United States,38.88,-109.5,35.6,31,90,5.82,2020-12-10 23:46:24
Honningsvåg,Norway,70.98,25.97,38.88,83,99,16.13,2020-12-10 23:46:24
Marawi,Philippines,8.0,124.29,75.49,81,73,1.57,2020-12-10 23:46:24
Malanje,Angola,-9.54,16.34,60.84,98,84,3.31,2020-12-10 23:46:24
Verkhovazh'ye,Russia,60.75,42.05,17.02,93,0,7.45,2020-12-10 23:46:24
Qaqortoq,Greenland,60.72,-46.03,17.6,37,0,4.7,2020-12-10 23:46:25
Santa,Philippines,17.49,120.43,79.77,74,79,3.2,2020-12-10 23:46:25
Maracaju,Brazil,-21.61,-55.17,77.16,33,0,6.13,2020-12-10 23:46:25
Kāzerūn,Iran,29.62,51.65,50.05,59,0,0.76,2020-12-10 23:46:25
Atuona,French Polynesia,-9.8,-139.03,78.76,77,10,20.38,2020-12-10 23:46:26
Nyáregyháza,Hungary,47.26,19.5,37.99,93,90,1.1,2020-12-10 23:46:26
Seydi,Turkmenistan,39.48,62.91,23.99,84,18,9.48,2020-12-10 23:46:26
Bandarbeyla,Somalia,9.49,50.81,71.94,62,50,14.18,2020-12-10 23:46:26
Churapcha,Russia,62.0,132.43,-38.42,81,99,3.6,2020-12-10 23:46:27
San,Mali,13.3,-4.9,75.13,20,0,10.74,2020-12-10 23:42:26
Naze,Japan,28.37,129.48,68.0,82,75,9.17,2020-12-10 23:46:27
Severo-Kuril'sk,Russia,50.68,156.12,26.82,92,80,15.55,2020-12-10 23:46:28
Takhtamygda,Russia,54.1,123.57,-1.35,91,100,4.59,2020-12-10 23:46:28
Iqaluit,Canada,63.75,-68.51,21.2,73,40,5.82,2020-12-10 23:46:28
Banhigan,Philippines,9.86,123.39,82.56,77,71,6.08,2020-12-10 23:46:28
Tiksi,Russia,71.69,128.87,-25.85,85,99,6.64,2020-12-10 23:46:29
Whitecourt,Canada,54.15,-115.69,28.4,68,20,2.24,2020-12-10 23:46:29
Jalor,India,25.35,72.62,62.96,43,9,4.23,2020-12-10 23:46:29
Inuvik,Canada,68.35,-133.72,-2.2,77,100,5.82,2020-12-10 23:44:06
Pyapon,Myanmar,16.28,95.68,66.22,91,37,4.29,2020-12-10 23:46:30
Wau,South Sudan,7.7,28.0,73.83,64,5,3.36,2020-12-10 23:46:30
Canala,New Caledonia,-21.53,165.95,87.8,52,75,8.05,2020-12-10 23:46:30
Pochutla,Mexico,15.74,-96.47,82.4,54,5,3.06,2020-12-10 23:46:31
Florø,Norway,61.6,5.03,44.6,65,99,20.8,2020-12-10 23:46:31
Vila,Portugal,42.03,-8.16,55.99,96,100,15.01,2020-12-10 23:46:31
Jacqueville,Cote d'Ivoire,5.21,-4.41,82.4,83,40,8.05,2020-12-10 23:46:32
Whitehorse,Canada,60.72,-135.05,15.8,78,75,18.34,2020-12-10 23:46:32
Strelka,Russia,58.07,93.03,-3.51,91,96,4.18,2020-12-10 23:46:32
Kruisfontein,South Africa,-34.0,24.73,64.99,96,32,2.55,2020-12-10 23:46:32
Yambio,South Sudan,4.57,28.4,71.83,67,6,0.18,2020-12-10 23:46:32
Alyangula,Australia,-13.85,136.42,86.0,74,40,9.17,2020-12-10 23:46:33
Assiut,Egypt,27.18,31.18,55.4,71,0,4.25,2020-12-10 23:42:03
Zambezi,Zambia,-13.54,23.1,65.26,97,98,2.62,2020-12-10 23:46:33
Mabaruma,Guyana,8.2,-59.78,72.95,95,32,2.93,2020-12-10 23:46:33
St. George's,Grenada,12.06,-61.75,78.8,78,20,10.29,2020-12-10 23:46:33
Vestmannaeyjar,Iceland,63.44,-20.27,44.83,89,100,22.95,2020-12-10 23:46:33
Souillac,Mauritius,-20.52,57.52,75.2,69,75,11.41,2020-12-10 23:46:34
Volkhov,Russia,59.93,32.34,22.59,88,16,6.82,2020-12-10 23:46:34
Oak,United States,39.89,-94.53,59.0,61,1,4.7,2020-12-10 23:46:34
Baykit,Russia,61.67,96.37,-27.6,79,47,1.74,2020-12-10 23:46:34
Litovko,Russia,49.24,135.17,12.16,94,98,2.59,2020-12-10 23:46:35
Kununurra,Australia,-15.77,128.73,78.8,100,100,6.93,2020-12-10 23:46:35
Caconda,Angola,-13.73,15.07,58.98,87,98,3.74,2020-12-10 23:46:35
Beringovskiy,Russia,63.05,179.32,25.36,94,100,20.27,2020-12-10 23:46:35
George,South Africa,-33.96,22.46,60.8,93,18,4.7,2020-12-10 23:46:35
Rēzekne,Latvia,56.5,27.32,23.92,97,90,10.38,2020-12-10 23:46:35
Jalu,Libya,29.03,21.55,50.23,62,0,6.22,2020-12-10 23:46:36
Pevek,Russia,69.7,170.31,4.24,87,45,8.55,2020-12-10 23:46:36
Lompoc,United States,34.64,-120.46,57.99,71,1,6.93,2020-12-10 23:46:36
Kachug,Russia,53.96,105.88,-9.56,87,98,1.99,2020-12-10 23:46:36
Acquaviva,San Marino,43.95,12.42,45.0,87,96,3.36,2020-12-10 23:46:37
Evensk,Russia,61.95,159.23,16.74,95,100,16.46,2020-12-10 23:46:37
Port,DR Congo,-7.03,29.76,71.74,75,88,10.51,2020-12-10 23:44:00
Ostrovnoy,Russia,68.05,39.51,29.48,96,98,18.34,2020-12-10 23:46:37
Araouane,Mali,18.9,-3.53,66.94,21,37,10.13,2020-12-10 23:46:37
Sandwick,United Kingdom,60.0,-1.25,48.2,76,100,31.09,2020-12-10 23:46:37
Bud,United States,39.45,-86.18,51.8,57,1,5.82,2020-12-10 23:46:38
Stavrovo,Russia,56.13,40.01,18.86,91,0,7.7,2020-12-10 23:46:38
Sarab,Iran,38.61,44.99,35.15,85,88,0.43,2020-12-10 23:46:38
Amuntai,Indonesia,-2.42,115.25,81.19,77,93,1.88,2020-12-10 23:46:38
Agüimes,Spain,27.91,-15.45,66.2,68,75,17.22,2020-12-10 23:46:39
Sultepec,Mexico,18.87,-99.95,62.6,45,75,12.75,2020-12-10 23:46:39
Wiarton,Canada,44.74,-81.13,37.4,86,90,11.41,2020-12-10 23:46:40
Brunsbüttel,Germany,53.9,9.15,36.0,92,100,8.57,2020-12-10 23:46:40
Faya,Saudi Arabia,18.39,42.45,53.6,87,0,2.17,2020-12-10 23:46:41
